title                 ,price       ,stars     ,offers       ,url
Dyon Enter Pro X2     ,"€ 99,90"   ,No rating ,72 Angebote  ,dyon-enter-pro-x2-v87510.html
Samsung QN90C GQ      ,"€ 863,04"  ,4.7       ,110 Angebote ,samsung-gq-qn90cat-v126369.html
Philips 65OLED708     ,"€ 1314,00" ,3.9       ,17 Angebote  ,philips-65oled708-a2963034.html
Samsung QN90C GQ      ,"€ 863,04"  ,4.7       ,110 Angebote ,samsung-gq-qn90cat-v126369.html
Sony KD-55X85L        ,"€ 779,00"  ,4.8       ,13 Angebote  ,sony-xr-55x85l-a2907392.html
Dyon Enter Pro X2     ,"€ 99,90"   ,No rating ,72 Angebote  ,dyon-enter-pro-x2-v87510.html
Philips 65OLED708     ,"€ 1314,00" ,3.9       ,17 Angebote  ,philips-65oled708-a2963034.html
Samsung S90C QE       ,"€ 1045,00" ,No rating ,22 Angebote  ,samsung-s90cat-v126449.html
Toshiba UL6C63DG      ,"€ 297,00"  ,No rating ,8 Angebote   ,toshiba-ul6c63dg-v130738.html
Hisense 55U6KQ        ,"€ 449,00"  ,4.0       ,19 Angebote  ,hisense-55u6kq-a2967271.html
Panasonic TX-65MZ700E ,"€ 1709,05" ,No rating ,1 Angebot    ,panasonic-tx-65mz700e-a3010152.html
LG OLED B4 B42LA      ,"€ 935,00"  ,No rating ,20 Angebote  ,lg-oled-b42la-v158930.html
Samsung Q80C GQ       ,"€ 815,00"  ,5.0       ,40 Angebote  ,samsung-gq-q80c-v129975.html
Hisense 65U7KQ        ,"€ 767,04"  ,5.0       ,26 Angebote  ,hisense-65u7kq-a2967243.html
Hisense E77NQ PRO     ,"€ 555,00"  ,No rating ,13 Angebote  ,hisense-e77nq-pro-v161509.html
Samsung GQ65S95D      ,"€ 3048,89" ,No rating ,11 Angebote  ,samsung-gq65s95d-a3160998.html
Hisense 75U7KQ        ,"€ 999,00"  ,5.0       ,16 Angebote  ,hisense-75u7kq-a2967260.html
Samsung Q60C GQ       ,"€ 449,00"  ,4.5       ,132 Angebote ,samsung-gq-q60c-v131371.html
Samsung GU50CU8589    ,"€ 499,99"  ,No rating ,18 Angebote  ,samsung-gu50cu8589u-a2926707.html
Hisense U6NQ          ,"€ 499,00"  ,No rating ,22 Angebote  ,hisense-u6nq-v161238.html
Samsung Q60C QE       ,"€ 389,00"  ,No rating ,68 Angebote  ,samsung-qe-q60cau-v126694.html
Samsung Q70C QE       ,"€ 619,00"  ,No rating ,15 Angebote  ,samsung-q70cat-v126355.html
Samsung GQ65S95C      ,"€ 1999,00" ,4.4       ,24 Angebote  ,samsung-gq65s95cat-a2915871.html
LG OLED48C31LA        ,"€ 909,00"  ,5.0       ,10 Angebote  ,lg-oled48c31la-a3008314.html
Samsung S92C GQ       ,"€ 1094,00" ,No rating ,39 Angebote  ,samsung-gq-s92cat-v126824.html
JVC VU3455            ,"€ 249,00"  ,No rating ,27 Angebote  ,jvc-vu3455-v159089.html
Metz MUD6001          ,"€ 299,99"  ,3.0       ,9 Angebote   ,metz-mud6001-v116676.html
Samsung GU65CU7179    ,"€ 599,00"  ,4.4       ,22 Angebote  ,samsung-gu65cu7179u-a2915285.html
Philips 65OLED808     ,"€ 1679,00" ,3.5       ,8 Angebote   ,philips-65oled808-a2950500.html
LG OLED42C31LA        ,"€ 859,00"  ,No rating ,16 Angebote  ,lg-oled42c31la-a3008312.html
LG OLED55B39LA        ,"€ 962,00"  ,4.3       ,8 Angebote   ,lg-oled55b3-a2871785.html
Samsung GQ55S95C      ,"€ 1449,00" ,4.4       ,28 Angebote  ,samsung-gq55s95cat-a2915873.html
Sony A80L             ,"€ 1499,00" ,3.5       ,45 Angebote  ,sony-a80l-v125494.html
